status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_7044,drops_6799,adds_2251,drops_4080,adds_9500,drops_10222,drops_9758,adds_1233,drops_5318,metadata,settings,drops,adds_6214,adds_10229,adds,drops_4147,adds_5318,drops_1233,adds_8339,drops_5655,adds_5348,drops_3973,adds_957,drops_5726,adds_7672,drops_5840,adds_4971,drops_4454,adds_8314,drops_4180,adds_5334,adds_7715,adds_5816,drops_3225,adds_1339,drops_4089,adds_5840,drops_7562,adds_8311,drops_5334,drops_2350,adds_10232,drops_9757,drops_7647,drops_7633,adds_7889,drops_8314,adds_7136,drops_6888,adds_11439,drops_10235
complete,waiver,1697003433465,5,[],862559746694205440,1017709798785236992,[3],[3],1697008054718,[],Your waiver claim was processed successfully!,3.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1696999530719,5,[],451807541647634432,1017693429482061824,[1],[1],1697008054718,[],Your waiver claim was processed successfully!,1.0,7.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1696995835342,5,[],561747196680642560,1017677929947533312,[5],[5],1697008054718,[],Your waiver claim was processed successfully!,0.0,9.0,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1696988733012,5,[],862499213718704128,1017648140616392704,[11],[11],1697008054718,[],This player was claimed by another owner.,2.0,5.0,,,11.0,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1696953980642,5,[],561715408029736960,1017502378611879936,[10],[10],1697008054718,[],Your waiver claim was processed successfully!,4.0,0.0,,,,,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1696793684113,5,[],451807541647634432,1016830046239162368,[1],[1],1696793684113,[],,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1696783864165,5,[],740751073198948352,1016788858391986176,[12],[12],1696783864165,[],,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1696779469882,5,[],862881247247052800,1016770427433222144,[4],[4],1696779469882,[],,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1696778346291,5,[],561715408029736960,1016765714750996480,[10],[10],1696778346291,[],,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1696751156884,5,[],740751073198948352,1016651674112311296,[12],[12],1696751156884,[],,,,,,,,,,,,,,,,,,,,,,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1696751082374,5,[],740751073198948352,1016651361594720256,[12],[12],1696751082374,[],,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1696737925832,5,[],451807541647634432,1016596179057983488,[1],[1],1696737925832,[],,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1696737835140,5,[],451807541647634432,1016595798668165120,[1],[1],1696737835140,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1696704246648,5,[],578293895956312064,1016454918321815552,[2],[2],1696704246648,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1696682848452,5,[],578293895956312064,1016365167782739968,[2],[2],1696682848452,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1696615515762,5,[],595464158774878208,1016082754011742208,[7],[7],1696615515762,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,
